POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
4900,1504.97,3518.4,5792.39,-3654.16,-8545.13,1757.47,15964.51,0.0,3588.33,-2033.22,16338.45,1555.11,17893.56
4901,1518.23,3677.84,5829.22,-3693.46,-8544.61,1739.73,15954.45,0.0,3592.55,-2036.77,16481.41,1555.78,18037.19
4902,1499.7,3647.33,5791.12,-3776.05,-8522.44,1743.72,15939.28,0.0,3572.22,-2016.47,16322.67,1555.74,17878.41
4903,1500.37,3611.16,5792.61,-3681.66,-8536.35,1736.86,15892.04,0.0,3585.11,-2029.35,16315.04,1555.75,17870.79
4904,1438.01,3640.4,5792.49,-3698.11,-8521.41,1784.59,15869.88,0.0,3581.65,-2028.99,16305.85,1552.65,17858.5
4905,1508.55,3614.06,5780.4,-3691.54,-8505.62,1754.68,15879.46,0.0,3599.94,-2039.29,16339.98,1560.65,17900.63
4906,1517.74,3580.45,5765.76,-3684.97,-8545.17,1786.15,15959.47,0.0,3592.16,-2024.02,16379.43,1568.14,17947.56
4907,1529.06,3573.06,5770.18,-3729.89,-8549.2,1784.22,15983.39,0.0,3574.26,-2017.17,16360.83,1557.09,17917.92
4908,1435.95,3660.61,5756.88,-3686.71,-8530.79,1774.44,15874.47,0.0,3588.13,-2036.01,16284.87,1552.12,17836.99
4909,1535.92,3618.99,5774.19,-3687.74,-8525.64,1773.13,15889.19,0.0,3584.04,-2030.47,16378.04,1553.57,17931.62
4910,1541.9,3628.08,5830.87,-3662.45,-8551.96,1774.27,15936.53,0.0,3590.13,-2033.11,16497.23,1557.02,18054.24
4911,1548.81,3637.93,5769.07,-3721.93,-8531.08,1761.22,15904.35,0.0,3576.81,-2019.01,16368.37,1557.81,17926.18
4912,1543.46,3679.01,5786.09,-3648.6,-8524.22,1771.75,15959.0,0.0,3593.27,-2035.82,16566.49,1557.44,18123.93
4913,1523.94,3509.56,5791.22,-3698.54,-8521.03,1748.55,15892.88,0.0,3574.97,-2008.22,16246.57,1566.75,17813.32
4914,1495.8,3562.59,5771.6,-3702.92,-8532.64,1758.23,15931.54,0.0,3579.22,-2017.6,16284.21,1561.61,17845.82
4915,1528.28,3632.31,5802.1,-3662.91,-8531.44,1790.63,15877.8,0.0,3579.25,-2035.38,16436.78,1543.87,17980.65
4916,1487.89,3552.48,5790.84,-3669.89,-8557.6,1786.23,15949.95,0.0,3588.13,-2039.51,16339.89,1548.62,17888.51
4917,1473.13,3550.76,5747.47,-3659.46,-8510.77,1727.94,15897.44,0.0,3619.13,-2060.99,16226.51,1558.13,17784.65
4918,1448.67,3594.58,5766.15,-3614.72,-8549.99,1750.45,15953.99,0.0,3607.92,-2047.43,16349.13,1560.48,17909.61
4919,1512.0,3583.29,5804.58,-3641.79,-8568.15,1805.34,16007.03,0.0,3594.78,-2045.29,16502.3,1549.49,18051.79
4920,1512.96,3579.71,5706.09,-3627.35,-8530.05,1732.46,15912.3,0.0,3605.99,-2053.76,16286.12,1552.23,17838.35
4921,1497.02,3664.76,5780.69,-3690.59,-8537.26,1761.68,15944.7,0.0,3578.56,-2008.29,16420.98,1570.27,17991.25
