POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
4900,1501.11,3628.23,5825.31,-3649.33,-8590.6,1759.58,16051.97,0.0,3598.65,-2051.79,16526.27,1546.86,18073.13
4901,1441.54,3583.51,5767.28,-3694.82,-8580.1,1757.43,16128.46,0.0,3608.43,-2063.75,16403.29,1544.68,17947.97
4902,1487.23,3663.99,5838.23,-3627.26,-8598.3,1792.34,16088.72,0.0,3595.18,-2047.22,16644.94,1547.96,18192.9
4903,1497.41,3651.76,5822.11,-3667.24,-8579.63,1775.27,16071.07,0.0,3598.08,-2042.6,16570.74,1555.47,18126.22
4904,1535.19,3620.01,5774.44,-3640.55,-8563.63,1744.93,16041.57,0.0,3614.91,-2059.68,16511.97,1555.23,18067.2
4905,1502.65,3699.93,5798.43,-3631.53,-8571.23,1757.53,16025.84,0.0,3592.28,-2042.56,16581.62,1549.72,18131.34
4906,1579.28,3540.35,5789.63,-3666.07,-8556.47,1747.35,16033.46,0.0,3610.17,-2064.67,16467.54,1545.5,18013.04
4907,1568.4,3603.69,5771.5,-3634.35,-8604.2,1776.19,16091.18,0.0,3590.18,-2047.61,16572.41,1542.57,18114.98
4908,1496.69,3698.93,5756.79,-3596.91,-8597.29,1780.09,16033.4,0.0,3603.1,-2058.65,16571.69,1544.45,18116.14
4909,1466.68,3622.8,5802.74,-3646.38,-8594.16,1738.22,16146.0,0.0,3600.75,-2056.36,16535.9,1544.39,18080.3
4910,1520.36,3656.52,5843.54,-3668.1,-8580.28,1744.56,15967.77,0.0,3591.85,-2041.66,16484.36,1550.19,18034.55
4911,1531.63,3669.95,5820.96,-3648.52,-8591.81,1762.68,16011.48,0.0,3594.9,-2050.33,16556.37,1544.57,18100.94
4912,1503.38,3600.53,5796.46,-3663.43,-8587.79,1741.03,16001.0,0.0,3583.56,-2048.07,16391.17,1535.48,17926.66
4913,1545.66,3581.08,5775.14,-3647.27,-8567.92,1760.12,15997.46,0.0,3602.2,-2056.31,16444.28,1545.89,17990.17
4914,1525.62,3555.33,5770.67,-3702.85,-8567.48,1749.52,15991.99,0.0,3591.24,-2031.47,16322.81,1559.77,17882.58
4915,1528.92,3529.27,5784.74,-3628.18,-8592.77,1781.07,16075.48,0.0,3588.94,-2037.9,16478.53,1551.04,18029.57
