POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
4900,1511.97,3536.35,5820.31,-3606.93,-8576.8,1774.86,15959.25,0.0,3578.49,-2030.16,16419.01,1548.32,17967.33
4901,1492.39,3618.46,5795.67,-3671.18,-8568.33,1801.16,15940.86,0.0,3587.45,-2037.72,16409.03,1549.73,17958.76
4902,1511.21,3620.37,5805.59,-3661.51,-8578.88,1748.22,15975.88,0.0,3581.97,-2030.53,16420.89,1551.44,17972.33
4903,1503.12,3611.34,5789.41,-3632.03,-8602.46,1744.72,16010.02,0.0,3580.26,-2032.19,16424.13,1548.07,17972.2
4904,1511.83,3551.09,5805.48,-3656.91,-8567.49,1765.9,15877.29,0.0,3576.17,-2023.66,16287.2,1552.51,17839.71
4905,1499.03,3643.92,5796.34,-3597.65,-8587.41,1780.77,15957.61,0.0,3575.56,-2028.35,16492.61,1547.21,18039.82
4906,1534.42,3648.92,5782.17,-3650.1,-8576.47,1757.96,15917.54,0.0,3577.17,-2025.58,16414.43,1551.59,17966.03
4907,1455.21,3605.26,5779.71,-3641.74,-8542.02,1753.6,15778.07,0.0,3591.65,-2053.68,16188.09,1537.96,17726.05
4908,1512.88,3578.44,5781.72,-3608.24,-8558.31,1760.84,15852.43,0.0,3576.66,-2041.62,16319.76,1535.04,17854.8
4909,1477.8,3532.48,5791.07,-3626.57,-8554.86,1746.28,15858.75,0.0,3591.99,-2038.84,16224.95,1553.15,17778.11
4910,1521.84,3574.95,5800.37,-3623.32,-8546.75,1756.02,15911.84,0.0,3596.23,-2050.37,16394.97,1545.86,17940.83
4911,1500.5,3539.9,5739.24,-3593.2,-8564.67,1761.68,15935.72,0.0,3598.58,-2061.19,16319.18,1537.39,17856.57
4912,1496.56,3660.82,5772.85,-3644.24,-8528.34,1782.3,15824.62,0.0,3588.71,-2041.01,16364.57,1547.7,17912.27
4913,1515.15,3500.41,5760.63,-3644.81,-8545.65,1747.86,15845.52,0.0,3588.71,-2045.19,16179.1,1543.52,17722.62
4914,1537.82,3568.47,5767.03,-3601.34,-8553.92,1753.66,15918.77,0.0,3597.83,-2038.68,16390.5,1559.15,17949.65
